time,count,precinct
1609878681864,191,Clairemont East
1609880667816,202,Clairemont East
1609884578728,226,Clairemont East
1609887804234,246,Clairemont East
1609855361705,73,Coralwood
1609862650423,131,Coralwood
1609869882751,206,Coralwood
1609876950174,258,Coralwood
1609884722674,313,Coralwood
1609853888885,57,Candler Park
1609857530852,89,Candler Park
1609864807223,144,Candler Park
1609872293473,203,Candler Park
1609876988349,236,Candler Park
1609884387401,273,Candler Park
1609889436531,307,Candler Park
1609851665615,32,Clarkston Community Center
1609855093284,53,Clarkston Community Center
1609858690646,90,Clarkston Community Center
1609862462793,123,Clarkston Community Center
1609866256357,146,Clarkston Community Center
1609869364108,184,Clarkston Community Center
1609872870211,225,Clarkston Community Center
1609876708789,250,Clarkston Community Center
1609880064949,274,Clarkston Community Center
1609884016225,312,Clarkston Community Center
1609888016895,343,Clarkston Community Center
1609852119417,78,Doraville North
1609855253864,115,Doraville North
1609859022796,164,Doraville North
1609862459539,234,Doraville North
1609866322637,308,Doraville North
1609869834411,386,Doraville North
1609873214417,470,Doraville North
1609877034016,534,Doraville North
1609880744375,595,Doraville North
1609884109607,670,Doraville North
1609887700607,753,Doraville North
1609891261164,806,Doraville North
1609849877018,44,Dresden Elem
1609854508959,90,Dresden Elem
1609859082855,155,Dresden Elem
1609862273903,202,Dresden Elem
1609865610668,269,Dresden Elem
1609873497913,378,Dresden Elem
1609877373446,433,Dresden Elem
1609881438043,502,Dresden Elem
1609884444245,558,Dresden Elem
1609887936380,635,Dresden Elem
1609851561267,18,Decatur
1609855719422,42,Decatur
1609860254392,68,Decatur
1609862521054,80,Decatur
1609866311177,106,Decatur
1609869877530,121,Decatur
1609873271250,130,Decatur
1609877123219,142,Decatur
1609880354035,159,Decatur
1609883993541,174,Decatur
1609887686208,195,Decatur
1609891176356,208,Decatur
1609851559460,24,Dunaire Elem
1609855308714,46,Dunaire Elem
1609858929556,69,Dunaire Elem
1609862910614,99,Dunaire Elem
1609865834900,130,Dunaire Elem
1609870269313,149,Dunaire Elem
1609873860366,170,Dunaire Elem
1609876884396,193,Dunaire Elem
1609880844771,219,Dunaire Elem
1609884619686,246,Dunaire Elem
1609887778642,277,Dunaire Elem
1609848061949,0,Dunwoody
1609852570020,43,Dunwoody
1609855249010,59,Dunwoody
1609858851366,94,Dunwoody
1609862381745,121,Dunwoody
1609866236165,165,Dunwoody
1609869710566,200,Dunwoody
1609873249398,233,Dunwoody
1609876791921,260,Dunwoody
1609880743351,285,Dunwoody
1609884031178,309,Dunwoody
1609887850162,338,Dunwoody
1609891326885,379,Dunwoody
1609851847883,29,Dunwoody 2
1609855958824,56,Dunwoody 2
1609859236120,92,Dunwoody 2
1609863030335,122,Dunwoody 2
1609867201517,159,Dunwoody 2
1609871522796,194,Dunwoody 2
1609874298881,216,Dunwoody 2
1609877750765,243,Dunwoody 2
1609880633366,264,Dunwoody 2
1609884596475,283,Dunwoody 2
1609887894500,303,Dunwoody 2
1609848160226,2,Druid Hills High
1609851677628,35,Druid Hills High
1609855489487,56,Druid Hills High
1609858819523,78,Druid Hills High
1609862434194,106,Druid Hills High
1609866023644,147,Druid Hills High
1609869680521,162,Druid Hills High
1609873383858,174,Druid Hills High
1609876846141,193,Druid Hills High
1609880519539,210,Druid Hills High
1609883965345,233,Druid Hills High
1609887475572,251,Druid Hills High
1609890928552,262,Druid Hills High
1609848170493,18,Dunwoody Library
1609851920029,40,Dunwoody Library
1609855465441,75,Dunwoody Library
1609859191355,116,Dunwoody Library
1609862952141,157,Dunwoody Library
1609867226249,204,Dunwoody Library
1609873797132,239,Dunwoody Library
1609881676058,302,Dunwoody Library
1609884637416,319,Dunwoody Library
1609887800694,336,Dunwoody Library
1609891929006,348,Dunwoody Library
1609848973454,25,East Lake
1609851496485,50,East Lake
1609855325299,75,East Lake
1609858762487,92,East Lake
1609862452239,120,East Lake
1609866435337,147,East Lake
1609869767585,182,East Lake
1609873220676,211,East Lake
1609877015877,247,East Lake
1609880593066,281,East Lake
1609884207105,315,East Lake
1609887828082,356,East Lake
1609891576023,384,East Lake
1609848924415,13,Embry Hills
1609852503803,26,Embry Hills
1609857682255,48,Embry Hills
1609860429707,62,Embry Hills
1609864821319,93,Embry Hills
1609868581932,115,Embry Hills
1609871242670,131,Embry Hills
1609877188784,166,Embry Hills
1609881633395,179,Embry Hills
1609886043656,205,Embry Hills
1609888454025,213,Embry Hills
1609856852140,85,Evansdale Elem
1609887552261,433,Evansdale Elem
1609848512959,0,Emory South
1609851773916,47,Emory South
1609855570405,81,Emory South
1609859300866,123,Emory South
1609862775392,181,Emory South
1609866337265,219,Emory South
1609869785577,258,Emory South
1609869957509,258,Emory South
1609873592017,295,Emory South
1609877070672,333,Emory South
1609880886338,362,Emory South
1609884079537,391,Emory South
1609887996808,430,Emory South
1609891396849,449,Emory South
1609851955969,21,Emory Road
1609855163441,27,Emory Road
1609862804205,37,Emory Road
1609862856279,50,Emory Road
1609866073233,66,Emory Road
1609876075820,85,Emory Road
1609883927775,111,Emory Road
1609891356873,124,Emory Road
1609852310033,67,Fairington Elem
1609856895536,220,Fairington Elem
1609861012747,311,Fairington Elem
1609865432067,373,Fairington Elem
1609869717424,206,Fairington Elem
1609871701757,268,Fairington Elem
1609873195499,230,Fairington Elem
1609877063567,340,Fairington Elem
1609881248982,392,Fairington Elem
1609883970925,435,Fairington Elem
1609891658096,586,Fairington Elem
1609847955598,0,Fernbank Elem
1609851901729,33,Fernbank Elem
1609855305239,62,Fernbank Elem
1609859162227,100,Fernbank Elem
1609862958551,145,Fernbank Elem
1609866673814,180,Fernbank Elem
1609869546594,198,Fernbank Elem
1609873178312,222,Fernbank Elem
1609876780130,249,Fernbank Elem
1609881439855,269,Fernbank Elem
1609883896827,279,Fernbank Elem
1609887762714,288,Fernbank Elem
1609891219434,302,Fernbank Elem
1609857907257,2,Flat Shoals Elem
1609861831507,1,Flat Shoals Elem
1609865990228,1,Flat Shoals Elem
1609870581080,105,Flat Shoals Elem
1609875812467,127,Flat Shoals Elem
1609879528781,143,Flat Shoals Elem
1609883663318,164,Flat Shoals Elem
1609887339286,193,Flat Shoals Elem
