county,fips,white_pct,edu,density
Thomas,13275,0.5755551056219208,23.1,4.402091157637185
Toombs,13279,0.6013045098770033,15.8,4.30009460363282
Towns,13281,0.9337044113981889,26.2,4.280384913513076
Twiggs,13289,0.550615763546798,9.4,3.120435752054948
Walker,13295,0.905448603087685,15.9,5.051659786146464
Warren,13301,0.38332698896079176,13.4,2.916714951588531
Banks,13011,0.8732972860559426,12.8,4.4173095977974235
Berrien,13019,0.8089395267309377,11.8,3.7594127775010575
Brooks,13027,0.5625929999353044,15.2,3.4452066653739806
Burke,13033,0.47777331010141627,12.6,3.2982886024691958
Camden,13039,0.6932279661947097,24.5,4.490583348562098
Chatham,13051,0.47825726427806375,33.2,6.520197073475153
Clay,13061,0.36273817925194074,7.9,2.674498040025829
Baker,13007,0.47860434496379195,12.3,2.184319400080755
